keyword,title,company,location,tags
software engineer,Senior Account Manager,Keyloop,South Africa,"['manager', 'training', 'support', 'growth', 'director', 'travel', 'investment', 'senior', 'operational', 'sales']"
software engineer,Manager Digital Media Strategy,"Adswerve, Inc",,"['manager', 'consultancy', 'technical', 'support', 'strategy', 'lead', 'senior']"
software engineer,Digital Media Strategist,"Adswerve, Inc",,"['consultancy', 'architect', 'technical', 'strategist', 'testing', 'growth', 'strategy', 'lead', 'executive']"
software engineer,Product Manager ChartCheck,Radformation,,['manager']
software engineer,Product Growth Marketer,Happily,,"['marketing', 'product']"
software engineer,Crypto Trader,Fox GLobal Assets,,"['finance', 'education', 'crypto', 'legal', 'junior', 'web3', 'blockchain', 'defi', 'part time', 'other', 'stats', 'ops']"
software engineer,Software Engineer Identity & Access,Patreon,,"['software', 'security', 'python', 'support', 'testing', 'growth', 'code', 'senior', 'reliability', 'engineer', 'engineering']"
software engineer,Technical Implementations Lead US,Smile Digital Health,Remote US,"['system', 'security', 'python', 'technical', 'support', 'software', 'javascript', 'java', 'cloud', 'management', 'lead', 'medical', 'health', 'healthcare', 'engineering']"
software engineer,Manager Healthcare Data Analytics,Habitat Health,,"['manager', 'support', 'analytics', 'medical', 'health', 'healthcare', 'non tech']"
software engineer,Account Executive Collections Credit Card,BHG Financial,Remote,"['training', 'growth', 'finance', 'financial', 'management', 'executive']"
software engineer,Sr Technical Program Manager Order Management Services,Natera,US Remote,"['manager', 'system', 'technical', 'management', 'lead', 'operational', 'reliability', 'engineering']"
software engineer,Nurse Care Manager MST,Evergreen Nephrology,,"['manager', 'system', 'healthcare']"
software engineer,Manager Care Team Assistant,Imagine Pediatrics,,"['manager', 'assistant', 'coordinator', 'support', 'health', 'non tech']"
software engineer,Senior Product Manager Applied AI,Smartsheet,,"['manager', 'director', 'management', 'senior', 'junior']"
software engineer,Revenue Specialist First Party Auto MVA,EnableComp,,"['system', 'security', 'support', 'growth', 'financial', 'education', 'management', 'health', 'healthcare']"
